Article,Date,Heading,NewsType
"TOKYO: Tokyo stocks opened 0.74 percent lower on Wednesday, hit by the yen´s rise and drops on Wall Street on worries about falling oil prices.The Nikkei 225 index at the Tokyo Stock Exchange lost 125.89 to 16,961.82 at the start.In New York on Tuesday the Dow Jones Industrial Average dropped 0.15 percent and the broad-based S&P 500 fell 0.26 percent, overshadowed by worries about sliding crude oil prices.The yen rose against other currencies on safe-haven buying, a negative for Japanese exporters as the stronger currency makes them less competitive abroad and erodes profits when repatriated.The dollar was at 117.72 yen early Wednesday, down from 117.90 yen in New York Tuesday afternoon and rates above 118 yen seen in Tokyo earlier Tuesday.The euro also fell after a key European central banker expressed support for monetary stimulus.The common European currency bought 138.69 yen and $1.1776 against 138.84 yen and $1.1777 in US trade.The ruble´s drop took a breather early Wednesday after plunging by around 5 percent on Tuesday as global oil prices tumbled towards a six-year low.The dollar was at 65.28 against the ruble on Wednesday against levels above 66 seen on Tuesday. 










",1/14/2015,tokyo stocks open 0.74 percent lower,business
"HONG KONG: Hong Kong stocks edged up 0.24 percent in early trade Thursday despite a fourth successive day of losses on Wall Street.The benchmark Hang Seng Index added 56.75 points to 24,169.35. 










",1/15/2015,hong kong stocks open 0.24 percent higher,business
"London: World oil prices rebounded Friday after the International Energy Agency declared there were signs ""the tide will turn"" following recent multi-year lows.In early afternoon London deals, Brent North Sea crude for delivery in March rallied $1.41 to trade at $49.68 per barrel. US benchmark West Texas Intermediate for February gained $1.09 at $47.34.""How low the market´s floor will be is anyone´s guess,"" the Paris-based IEA energy watchdog said in a monthly report published on Friday.""A price recovery -- barring any major disruption -- may not be imminent, but signs are mounting that the tide will turn.""Crude futures have more than halved since June, crashing on stubborn worries over global oversupply and weak demand in a faltering world economy.The IEA cautioned Friday that prices were expected to keep falling in the short-term.""The IEA have hedged their bets somewhat by saying the tide may turn,"" noted CMC Markets analyst Michael Hewson.He added that the ""market is very oversold and was probably due a rebound"".European benchmark Brent had tumbled Tuesday to $45.19 per barrel, hitting the lowest level since March 2009.The IEA added Friday that the dramatic collapse in oil prices was still insufficient to stimulate crude consumption, because weakness in the economy has cancelled out the benefits of cheaper crude.The agency maintained its oil demand forecast for 2015, expecting it to grow by 0.9 million barrels a day to reach 93.3 million barrels.The oil market rebounded Friday after plunging the previous day on news that the Organization of Petroleum Exporting Countries had overproduced in December, while it also cut its global demand outlook.The 12-nation OPEC cartel, which produces about one third of global supplies, said in a monthly report Thursday that its production rose to 30.2 million barrels a day in December, above its 30 million limit.It also projected that demand for its oil would fall to 28.8 million barrels per day this year from 29.1 million in 2014.""The yo-yo effect of the crude oil prices can be attributed to the uncertainty in the market,"" said Shailaja Nair, associate editorial director at energy information provider Platts, pointing to an ""unstable dollar"" and an ""irregular equity market"".""OPEC has just forecasted a drop in demand for its oil this year and this could mean that the price rally we saw this week is unlikely to last,"" she said.Despite the global supply glut, OPEC decided in November to maintain its collective output ceiling at 30 million barrels of oil per day.Cartel kingpin Saudi Arabia has stated that OPEC will not cut production even if the price drops to $20 per barrel, in a move aimed at hurting US shale oil producers. (AFP)                        










",1/16/2015,oil market rebounds on iea repor,business
"ISLAMABAD: Long queues of vehicles on fuel stations were visible in different parts of the country as the petrol became rare commodity on Thursday.Federal Minister for Petroleum Shahid Khaqan Abbasi says ""it may take up to ten days to bring the situation to normality"".He claimed that northern areas of Pakistan had been facing the petrol shortage. The minister cited the recent decline in petroleum prices and delay in a shipment as reasons for the shortage.He said situation would improve as soon as shipment reached Pakistan. Sources told Geo News hat due to financial restraints the Pakistan State Oil has been unable import petrol. 










",1/16/2015,govt may take up to ten days to overcome petrol shortag,business
"SINGAPORE: Brent crude oil prices traded around $50 a barrel on Monday, with some support coming from falling US output growth but an expectation of weak Chinese economic data weighing on markets.Analysts said prices were receiving some support around current levels but added that there was not much room for larger price gains.""Some positive data points helped to stabilize oil for now...Upbeat IEA comments and a falling US rig count were the latest positive news. While the news was able to halt oil's price decline, it was not enough to turn prices bullish,"" Morgan Stanley said on Monday in a note.China is due to report gross domestic product figures on Tuesday, which are expected to show China's full-year growth would undershoot Beijing's 7.5-percent target and would be the weakest in 24 years.In Europe, the main event of the week will be Thursday's meeting of the European Central Bank (ECB), which is considered almost certain to see the launch of a government bond-buying campaign, pointing to further euro falls against the dollar as well as to downward pressure on oil prices.""Commodity markets to be driven by currency markets and expectations of ECB quantitative easing this week,"" ANZ bank said in a note on Monday.Brent crude futures were trading at $50.12 per barrel at 0650 GMT, down 5 cents since their last settlement, although prices dipped below $50 a barrel in earlier trading. US crude was trading down 17 cents at $48.52 a barrel.Oil prices have dropped by more than half since last June as production around the world has soared while demand slows. Although the International Energy Agency (IEA) said that a reversal in trend was possible this year, it added that prices may fall further before the market begins to rise again.Analysts said that prices would likely rise away from levels below $50 per barrel, but many noted that the longer-term outlook was for oil prices to remain at lower levels than in recent years.""We do not subscribe to the theory of US$20/bbl (barrel) oil. The price may go down to the US$30/bbl level for a short while, but it will bounce back,"" research firm Facts Global Energy (FGE) said in its January note to clients.""We will be in the US$60-80/bbl price range till end of the decade,"" it added.                        










",1/19/2015,brent crude steady around 50,business
"ISLAMABAD: A two member committee tasked to probe the prevailing petrol shortage on Tuesday said that the situation was a serious failure on the part of OGRA (Oil and Gas Regulatory Authority) as a regulator. The committee presented its initial findings to Prime Minister Nawaz Sharif in a meeting held here under his chairmanship to review the petroleum situation in the country.The PM directed to make structural changes to ensure that such a situation never arises again. The meeting endorsed the earlier decision of suspending four senior officials responsible for the crisis.The meeting also decided that Deputy Managing Director Pakistan State Oil (PSO) Sohail Butt was also equally responsible and ordered for his suspension as well.Meanwhile, Petroleum Minister Shahid Khaqan Abbasi said that he was never satisfied with the performance of OGRA and the authority’s performance as a regulator was not just dismal for petrol but was also same for gas.Petrol crisis: Day 8 The petrol crisis has entered its eight day in Punjab as commuters continue their search for fuel. Long queues are seen at stations which are open with people complaining of waiting for several hours for just a litre of petrol. The All Pakistan Petroleum Dealers Association said that 5.7 mn liters of petrol has been disbursed to fuel stations across Punjab during the last three days and another 1.8 mn liters will be dispersed by tonight.However, according to the Petroleum Dealers Association, the state of affairs is improving and the chaos at stations was only due to mismanagement of the pumps and had nothing to do with the supply.The association further said that all fuel stations have been directed to meet the demands of the commuters with the provided supply of petrol, as well as all stations should stop providing petrol to customers with bottles and canisters in order to avoid queues. 










",1/20/2015,report presented to pm holds ogra responsible for fuel crisi,business
"ISLAMABAD: The National Electric Power Regulatory Authority (NEPRA) on Wednesday said that a notification has been issued after November’s fuel adjustment regarding a relief on electricity charges for Karachi’s consumers.According to the notification, consumers will benefit by a reduction of Rs. 1.73 per unit which would reflect in bills for March 2015.NEPRA had proposed the reduction during the first week of January and after approval it issued the notification today.   










",1/21/2015,notification issued for reduction in electricity charges for karachi nepr,business
"Hong Kong: Asian markets extended their rally this week, while the euro dipped ahead of a much-anticipated European Central Bank policy meeting that is forecast to see it introduce more monetary easing measures.Tokyo added 0.28 percent, or 48.54 points, to end at 17,329.02, Sydney rose 0.49 percent, or 26.56 points, to 5,419.94 and Seoul was flat, dipping a marginal 0.41 points to 1,920.82.Hong Kong rose 0.70 percent, or 170.05 points, to 24,522.63 and Shanghai gained 0.59 percent, or 19.73 points, to 3,343.34. The mainland China index has recovered almost all the losses it made on Monday in reaction to a regulatory crackdown on margin trading.Eyes are firmly on the ECB meeting later Thursday, with expectations high that it will unveil a programme of asset-purchasing, or quantitative easing (QE).Speculation has been rife for several months that more stimulus would be announced as inflation continues to weaken -- prices in the euro area fell in December for the first time in five years.According to analysts at UniCredit, the market is expecting the ECB to unveil a programme worth between 500 and 800 billion euros ($580 to $930 billion).Wall Street took its rally into a third day Wednesday, the Dow ending up 0.22 percent, the S&P 500 adding 0.47 percent and the Nasdaq 0.27 percent higher.With traders placing bets on a vast round of easing the euro has been hammered in the past few weeks, especially as it comes just a few months after the US Federal Reserve wound up its own QE programme and considers an interest rate hike this year.At one point last week the single currency fell below $1.1500 for the first time since late 2003.In afternoon trade Thursday it bought $1.1624 and 136.78 yen compared with $1.1607 and 136.85 yen in US trade.""The euro decision is kind of well telegraphed but euro-dollar does have more to go on the downside,"" Thomas Averill, a managing director in Sydney at Rochford Capital, told Bloomberg News. ""The eurozone economy seems pretty sluggish at the moment and needs QE.""The dollar was 117.66 yen against 117.90 yen in New York.Oil prices were largely flat after enjoying a rare fillip Wednesday. US benchmark West Texas Intermediate (WTI) for March delivery rose just 10 cents to $47.88 and Brent rose 42 cents to $49.45.On Wednesday WTI jumped $1.31 and Brent climbed $1.04.Gold fetched $1,286.66 an ounce, against $1,300.64 late Wednesday.In other markets:-- Kuala Lumpur rose 0.66 percent, or 11.66 points, to 1,781.75.Public Bank rose 0.56 percent to 17.84 ringgit, RHB Capital gained 0.13 percent to 7.73 while Malayan Banking was flat at 8.87 ringgit.-- Jakarta rose 0.73 percent, or 37.92 points, to 5,253.18.State miner Aneka Tambang rose 0.48 percent to 1,055 rupiah while palm oil producer Astra Agro Lestari fell 0.72 percent to 24,000 rupiah.-- Singapore rose 0.47 percent, or 15.83 points, to 3,370.29.Real estate developer Capitaland gained 0.59 percent to Sg$3.42 while United Overseas Bank rose 0.64 percent to Sg$23.50.-- Mumbai rose 0.41 percent, or 117.16 points, to end at 29,006.02 points.Sun Pharmaceutical Industries rose 3.85 percent to 920.05 rupees, while National Thermal Power Corporation fell 2.30 percent to 140.20 rupees.-- Bangkok rose 1.49 percent, or 22.98 points, to 1,560.34.Bank of Ayudhya soared 8.98 percent to 69.75 baht, while Thai Oil climbed 7.22 percent to 48.25 baht.-- Taipei rose 0.53 percent, or 49.80 points, to 9,369.51.Taiwan Semiconductor Manufacturing Co. fell 0.71 percent to Tw$140.0 while Acer ticked up 0.74 percent to Tw$20.45.-- Wellington slipped 0.45 percent, or 25.71 points, to 5,647.14.Spark fell 1.83 percent to NZ$3.215 while Fletcher Building was down 1.78 percent at NZ$8.27.-- Manila fell 0.77 percent, or 57.79 points, to 7,416.31.JG Summit Holdings plunged 11.16 percent to 62.10 pesos, Metropolitan Bank dropped 2.86 percent to 90.00 pesos and Ayala Land ended 0.29 percent down at 34.85 pesos. (AFP)                        










",1/22/2015,asia stocks mostly higher ahead of ecb meeting,business
"ISLAMABAD: The Economic Coordination Committee of the Cabinet (ECC) on Friday approved export of 1.2 million tons of wheat and imposed a bans on import of wheat byproducts. Federal Minister for Finance Senator Ishaq Dar chaired the meeting and approved the export of 1.2 million tons of wheat out of the surplus stocks available in Punjab and Sindh.Accordingly, Punjab will export 800,000 tons while Sindh has been allocated export quota of 400,000 tons of wheat. Punjab will get a subsidy of Rs55 per metric ton for export while for Sindh this subsidy would be Rs45 per metric ton.Taking notice of unhindered import of wheat byproducts, the ECC also issued instructions for immediate ban on their import.The ECC considered a proposal moved by the Ministry of States and Frontier Regions (Safron) and approved the provision of 30,000 tons of wheat to the United Nations World Food Programme for distribution among Temporarily Displaced Persons (TDPs), catering for the period up to March 2015.The ECC also observed that in case of further requirements, Safron could revert to the forum with a fresh proposal.The ECC considered and approved a proposal by the Water and Power Minstry to attract private sector investment in transmission line projects with the inclusion of upfront tariff as an option. The ECC also accorded approval for the extension of GSA between OGDCL and Fauji Kabirwala Power Company Limited (FKPCL) for provision of 20 mmcfd of gas at the earliest but not later than February 1. Till that time, LNG is made available to the company for power generation. At its maximum generation capacity utilisation, the plant will generate 157 MW of electricity.The ECC approved Issuance of Policy directive to NEPRA to build in costs incurred by the power sector into the tariff without affecting the end consumer.The committee also approved the re-lending of the buyer credit loan to PAEC as per actual terms and conditions available to the Government of Pakistan. Based on the above approval, the revised rate comes to nine per cent comprising actual cost of loan and exchange rate risk.                        










",1/23/2015,ecc approves export of 1.2 million tons of ,business
"SINGAPORE: Saudi Arabia's new king is expected to continue a policy of keeping oil output steady to drive out rival producers, though the royal succession has focused market attention on the future of the kingdom's long-serving oil minister.King Abdullah died early on Friday and his brother Salman became king, the royal court in the world's top oil exporter said in a statement.Salman named his half-brother Muqrin as heir, rapidly moving to forestall any succession crisis at a moment when Saudi Arabia faces unprecedented turmoil on its borders.While the new king is not seen as likely to change Abdullah's policies of keeping output high to protect the OPEC cartel's market share, some analysts said the succession has focused attention on the future of the oil minister Ali Al-Naimi.""King Abdullah was the architect of the current strategy to keep production high and force out smaller players instead of cutting,"" said John Kilduff, partner, Again Capital LLC in New York, adding that he expected Salman to keep production high.FGE analyst Tushar Bansal said: ""By and large, as of now, no major change is expected in Saudi policies"" but he said the market would focus on whether the oil minister might step down.""Ali Al-Naimi has been the oil minister since 1995... It was reported that he expressed a desire to step down, but King Abdullah asked him to stay on for as long as he is around. So, the real question is, if there is a new oil minister soon, will it lead to a change in Saudi energy policy?""IHS oil consultant Victor Shum said speculation over the fate of the oil minister could add to market uncertainty though he did not expect a change of minister or in overall policy.""The decision on Saudi Arabia to keep pumping (oil) was made regardless of who the king may be,"" said Shum.Saudi leaders were also unlikely to want to repeat some previous policy misfires.In the 1980s, Saudi Arabia cut its own output to prop up prices in the face of falling demand and rising supplies from non-OPEC suppliers but was dealt a double blow from lower prices and reduced output.Saudi policymakers would be determined not to make the same mistake again, analysts said.Crude oil futures jumped on Friday after news of the Saudi king's death but later came off their highs and were still trading at levels more than 50 percent below their most recent peaks in June, 2014. [O/R]""This little spike in prices is understandable... It should be sold off quickly and it won't last long at all,"" said Mark Keenan, an analyst at Societe Generale.                        










",1/23/2015,new saudi king seen holding line on opec policy to keep oil output hig,business
